_id,id,title,release_date,popularity,vote_average,vote_count,release_year
661ec0a782636514977a5097,335988,Transformers: The Last Knight,16-06-2017,63.562,6.054,5939,2017
661ec0a782636514977a5098,2105,American Pie,09-07-1999,67.713,6.583,7397,1999
661ec0a782636514977a5099,162,Edward Scissorhands,07-12-1990,67.602,7.716,12476,1990
661ec0a782636514977a509a,521029,Annabelle Comes Home,26-06-2019,53.393,6.423,3335,2019
661ec0a782636514977a509b,9837,The Prince of Egypt,16-12-1998,52.814,7.275,3785,1998
661ec0a782636514977a509c,36955,True Lies,15-07-1994,54.556,7.1,3867,1994
661ec0a782636514977a509d,204082,Homefront,12-11-2013,84.556,6.961,3360,2013
661ec0a782636514977a509e,181808,Star Wars: The Last Jedi,13-12-2017,77.051,6.808,14778,2017
661ec0a882636514977a509f,442249,The First Purge,04-07-2018,59.796,6,3850,2018
661ec0a882636514977a50a0,1700,Misery,30-11-1990,95.36,7.754,4394,1990
661ec0a882636514977a50a1,264660,Ex Machina,21-01-2015,70.967,7.572,12773,2015
661ec0a882636514977a50a2,9360,Anaconda,11-04-1997,58.957,5.2,2364,1997
661ec0a882636514977a50a3,10693,Peter Pan,05-02-1953,56.699,7.223,5179,1953
661ec0a882636514977a50a4,335988,Transformers: The Last Knight,16-06-2017,63.562,6.054,5939,2017
661ec0a882636514977a50a5,457332,Hidden Strike,06-07-2023,56.379,6.986,891,2023
661ec0a882636514977a50a6,406563,Insidious: The Last Key,03-01-2018,63.818,6.255,2784,2018
661ec0a882636514977a50a7,755401,Skydog,20-10-2020,51.271,6.3,15,2020
661ec0a882636514977a50a8,50546,Just Go with It,10-02-2011,64.798,6.683,5486,2011
661ec0a882636514977a50a9,1062807,SPY x FAMILY CODE: White,22-12-2023,58.632,7,14,2023
661ec0a882636514977a50aa,146233,Prisoners,19-09-2013,54.195,8.094,11262,2013
661ec0a882636514977a50ab,9552,The Exorcist,26-12-1973,66.687,7.727,7644,1973
661ec0a882636514977a50ac,15512,Monsters vs Aliens,19-03-2009,69.433,6.2,4439,2009
661ec0a882636514977a50ad,396422,Annabelle: Creation,03-08-2017,63.436,6.595,5420,2017
661ec0a882636514977a50ae,11351,Jeepers Creepers 2,08-08-2003,60.679,6.117,1541,2003
661ec0a882636514977a50af,396422,Annabelle: Creation,03-08-2017,63.436,6.595,5420,2017
661ec0a882636514977a50b0,1106049,Rest in Peace,21-03-2024,63.396,6.1,30,2024
661ec0a882636514977a50b1,72331,Abraham Lincoln: Vampire Hunter,20-06-2012,63.38,5.723,3203,2012
661ec0a882636514977a50b2,945729,A Haunting in Venice,13-09-2023,63.365,6.699,1969,2023
661ec0a882636514977a50b3,440,Aliens vs Predator: Requiem,25-12-2007,63.356,5.2,2715,2007
661ec0a882636514977a50b4,676,Pearl Harbor,21-05-2001,51,6.941,6207,2001
661ec0a882636514977a50b5,11360,Dumbo,31-10-1941,56.244,7.003,4769,1941
661ec0a882636514977a50b6,420809,Maleficent: Mistress of Evil,16-10-2019,59.252,7.3,5888,2019
661ec0a882636514977a50b7,9820,The Parent Trap,28-07-1998,73.238,7.183,3958,1998
661ec0a882636514977a50b8,11932,Bride of Chucky,16-10-1998,69.482,6.045,1801,1998
661ec0a882636514977a50b9,1370,Rambo III,24-05-1988,65.365,6.186,3006,1988
661ec0a882636514977a50ba,122906,About Time,04-09-2013,51.861,7.915,8116,2013
661ec0a882636514977a50bb,188927,Star Trek Beyond,07-07-2016,66.859,6.783,6421,2016
661ec0a882636514977a50bc,78,Blade Runner,25-06-1982,81.349,7.934,13271,1982
661ec0a882636514977a50bd,1103825,War of the Worlds: The Attack,21-04-2023,54.142,5.116,151,2023
661ec0a882636514977a50be,360920,The Grinch,08-11-2018,57.253,6.8,3750,2018
661ec0a882636514977a50bf,810271,The Resort,30-04-2021,49.256,5.9,226,2021
661ec0a882636514977a50c0,1813,The Devil's Advocate,17-10-1997,62.99,7.455,5688,1997
661ec0a882636514977a50c1,9003,Hellraiser,11-09-1987,65.738,6.884,2393,1987
661ec0a882636514977a50c2,24,Kill Bill: Vol. 1,10-10-2003,55.989,7.969,16765,2003
661ec0a882636514977a50c3,38234,Undisputed III: Redemption,22-05-2010,60.847,7.545,861,2010
661ec0a882636514977a50c4,615173,The Witch: Part 2. The Other One,15-06-2022,60.807,7.133,236,2022
661ec0a882636514977a50c5,72808,The Flesh,21-08-1991,60.79,5.4,41,1991
661ec0a882636514977a50c6,12429,Ponyo,19-07-2008,60.786,7.746,4063,2008
661ec0a882636514977a50c7,242582,Nightcrawler,23-10-2014,60.771,7.706,10382,2014
661ec0a882636514977a50c8,355651,The Student,27-09-2015,84.99,4.2,6,2015
661ec0a882636514977a50c9,10567,Dinosaur,19-05-2000,58.302,6.5,2385,2000
661ec0a882636514977a50ca,843617,Players,13-02-2024,46.363,6.038,184,2024
661ec0a882636514977a50cb,5174,Rush Hour 3,08-08-2007,61.999,6.5,3091,2007
661ec0a882636514977a50cc,621,Grease,07-07-1978,69.294,7.396,6965,1978
661ec0a882636514977a50cd,1134433,Death Whisperer,25-10-2023,86.251,6.3,10,2023
661ec0a882636514977a50ce,10229,A Walk to Remember,25-01-2002,54.74,7.7,3923,2002
661ec0a882636514977a50cf,1214523,Frida,08-03-2024,54.837,7.6,12,2024
661ec0a882636514977a50d0,265712,Stand by Me Doraemon,08-08-2014,52.967,7.314,507,2014
661ec0a882636514977a50d1,10386,The Iron Giant,06-08-1999,53.962,7.937,5314,1999
661ec0a882636514977a50d2,9532,Final Destination,17-03-2000,63.637,6.593,5331,2000
661ec0a882636514977a50d3,1091,The Thing,25-06-1982,67.129,8.058,6590,1982
661ec0a882636514977a50d4,8247,Jumper,13-02-2008,43.877,6.1,5539,2008
661ec0a882636514977a50d5,989596,The Braid,29-11-2023,43.499,7.7,83,2023
661ec0a882636514977a50d6,642885,Hocus Pocus 2,30-09-2022,65.652,7.265,1564,2022
661ec0a882636514977a50d7,567609,Ready or Not,21-08-2019,58.491,7.06,4127,2019
661ec0a882636514977a50d8,11974,The 'Burbs,17-02-1989,58.478,6.8,1145,1989
661ec0a882636514977a50d9,945675,One Week Friends,18-06-2022,58.465,5.7,112,2022
661ec0a882636514977a50da,331482,Little Women,25-12-2019,58.363,7.886,6004,2019
661ec0a882636514977a50db,420634,Terrifier,25-01-2018,58.317,6.474,1896,2018
661ec0a882636514977a50dc,206487,Predestination,28-08-2014,50.74,7.44,6161,2014
661ec0a882636514977a50dd,265208,Wild Card,14-01-2015,67.185,5.639,1681,2015
